维度V,模型名称,MAE,RMSE
0,CHformer（提出模型）,255.8839,356.1051
0,Autoformer,523.0962,671.858
0,Transformer,362.7592,479.6048
0,Informer,329.6705,435.8294
0,LSTM,625.3653,771.9624
0,TCN,1033.4331,1213.9019
1,CHformer（提出模型）,28.6632,51.1147
1,Autoformer,35.1115,57.0543
1,Transformer,31.7425,50.8963
1,Informer,27.117,46.6558
1,LSTM,37.6206,70.6
1,TCN,113.0388,145.9303
2,CHformer（提出模型）,454.0808,598.0001
2,Autoformer,531.5014,655.3182
2,Transformer,482.7364,632.958
2,Informer,500.7464,619.0434
2,LSTM,430.0964,554.0729
2,TCN,453.8492,577.9195
